source_sheet,source_cells,target_sheet,target_cell
전체 점수,C9,Sheet2,B2
전체 점수,C11,Sheet2,B3
전체 점수,C12,Sheet2,B4
전체 점수,C16,Sheet2,B5
전체 점수,C17,Sheet2,B6
전체 점수,C18,Sheet2,B7
전체 점수,C19,Sheet2,B8
전체 점수,C5,Sheet2,B11
전체 점수,C6,Sheet2,B12
전체 점수,C7,Sheet2,B13
전체 점수,C12,Sheet2,B14
전체 점수,C11,Sheet2,B17
전체 점수,C8,Sheet2,B20
전체 점수,C9,Sheet2,B21
전체 점수,C16,Sheet2,B24
전체 점수,C18,Sheet2,B25
전체 점수,E36,Sheet1,B3
전체 점수,E37,Sheet1,B8
전체 점수,E38,Sheet1,B13
전체 점수,E39,Sheet1,B18
전체 점수,E40,Sheet1,B23
전체 점수,F36,Sheet1,B4
전체 점수,F37,Sheet1,B9
전체 점수,F38,Sheet1,B14
전체 점수,F39,Sheet1,B19
전체 점수,F40,Sheet1,B24
